name,volume,description,place,img_name
リッチブレンド,16,深いコクとキレのある味わい、たっぷりマグカップサイズのレギュラーコーヒー,882,6,0,cp_mag_richBlend.png
カフェオレ,16,ミルクの自然な甘みもコーヒーのコクも味わえるノンスイートの本格カフェオレ。毎日の朝食の1杯にどうぞ。,882,6,0,cp_mag_cafeAuLait.png
カフェオレ インテンソ,16,ミルクの自然な甘さと、深く焙煎したコーヒーのコクの絶妙なバランス。ストロングテイスト、ノンスイートの本格カフェオレ,882,6,0,cp_mag_cafeAuLaitIntenso.png
オリジナルブレンド,16,バランスとれたまろやかな味わい、たっぷりマグカップサイズのレギュラーコーヒー,882,6,0,cp_mag_originalBlend.png
モカブレンド,16,フルーティーな香りとさわやかな味わい、たっぷりマグカップサイズのレギュラーコーヒー,882,6,0,cp_mag_mochaBlend.png
カフェオレ カフェインレス,16,カフェオレのノンスイートの味わいはそのままに、カフェインカット。,882,6,0,cp_mag_cafeAuLaitCLess.png
レギュラーブレンド (ルンゴ),16,香り、苦味、酸味に至るまで、バランスのとれた正統派な味わいのレギュラーコーヒー。,882,6,0,cp_bk_lungo.png
ロースト ブレンド (ルンゴ インテンソ）,16,深い焙煎による香ばしさと重厚なコクが特長の、力強い味わいのレギュラーコーヒー。,882,6,0,cp_bk_lungoIntenso.png
エスプレッソ,16,フルーティなアロマとまろやかなコク。酸味のきいた繊細で芳醇なレギュラーコーヒー。,882,6,0,cp_bk_espresso.png
エスプレッソ インテンソ,16,ロースティーなアロマとシャープな苦み、深いコクのある力強いレギュラーコーヒー。,882,6,0,cp_bk_espressoIntenso.png
アイスコーヒーブレンド,16,香ばしく、さわやかな酸味のある、研ぎ澄まされた大人のアイスコーヒー。牛乳でカフェラテも。,882,6,0,cp_bk_icedCoffeeBlend.png
レギュラーブレンド カフェインレス,16,カフェインをカット。なめらかなクレマ（泡）が特長で、しっかりした味わいとすっきりした苦味が楽しめるレギュラーコーヒー。,882,6,0,cp_bk_caffeineless.png
濃い抹茶,12,高級宇治抹茶を使用し、濃く深い苦み、抹茶本来の旨みと甘みのバランスをお楽しみ頂けます。,1460,6,0,cp_var_koiMatcha.png
宇治抹茶,16,美しく点った泡、本格抹茶の上品な香りと旨み。伝統の抹茶をモダンスタイルでどうぞ。宇治抹茶100％使用。,882,6,0,cp_var_ujiMatcha.png
カプチーノ,8,濃厚なエスプレッソとふんわり泡立てたフォームドミルクのコンビネーションが絶妙なほんのり甘いカプチーノ。,882,6,2,cp_var_cappuccino.png
ラテ マキアート,8,ふんわりと泡立てられたフォームドミルクに、リッチなエスプレッソのショットがとけあう、やさしい甘みのラテマキアート。,882,6,2,cp_var_latteMacchiato.png
チョコチーノ,8,ふんわりしたミルクの泡立ちと良質のカカオ豆による贅沢な味わいのココアです。子供から大人まで幅広く楽しめます。,882,6,0,cp_var_chococino.png
ティーラテ,8,ほのかな甘さの紅茶の味わいと、“ふわふわのフォームドミルク”の絶妙なハーモニーが楽しめる、贅沢なティーラテ。,882,6,2,cp_var_teaLatte.png
宇治抹茶ラテ,8,宇治抹茶の香りと味わい豊かなミルクがマッチした、見た目にも美しい抹茶ラテ。,882,6,2,cp_var_greenTeaLatte.png
アイスカプチーノ,8,濃厚なエスプレッソがやわらかなミルクの甘さに溶けあい、さわやかなアイスにぴったりの味わい。,882,6,2,cp_var_CappccinoIce.png
